제목,시작일,종료일,장소,이미지 URL
잇다 : 자연과 인공 사이,2025.04.09.,2025.04.20.,이지갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_110%2F1743738524662A4DEK_JPEG%2F360_main_thumb_url_1743738524626.jpg
PALETTE: 우리가 사는 세상 2025,2025.04.08.,2025.04.26.,소다미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_289%2F1743573151246lNO1j_PNG%2F360_main_thumb_url_1743573151237.png
추구(地/紙)점,2025.04.05.,2025.04.27.,예술협동조합이루,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_77%2F1743486768111g523R_JPEG%2F360_main_thumb_url_1743486768037.jpg
땅거미가 지는 곳 Tending To Dusk,2025.04.06.,2025.05.04.,영주맨션,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_128%2F1743479852751HTU9F_PNG%2F360_main_thumb_url_1743479852629.png
My Favorite Time to Stroll,2025.03.26.,2025.04.20.,솔트갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_285%2F17434791771223fpCi_JPEG%2F360_main_thumb_url_1743479177088.jpg
이윤숙 : 생명의 소리 - On & Off,2025.04.05.,2025.04.17.,예술공간 아름,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_100%2F1743475296779fFTm8_PNG%2F360_main_thumb_url_1743475296742.png
우리도 쌓여가는 모래처럼 : I heard the Whisper of Sand,2025.04.09.,2025.05.04.,오브제후드,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_221%2F1743474382605QLdVX_PNG%2F360_main_thumb_url_1743474382571.png
"바람 (wind, wish)",2025.04.03.,2025.04.30.,아트리에 헤이리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_130%2F1743473935826VCKhr_JPEG%2F360_main_thumb_url_1743473935813.jpg
"BLUE VISION: 우리의 빛, 우리의 시선",2025.03.25.,2025.04.15.,갤러리 하이,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_163%2F1743391383702gzlRx_JPEG%2F360_main_thumb_url_1743391383681.jpg
홍현아 개인전,2025.04.01.,2025.04.12.,레드부츠 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_88%2F17433886130106h1XU_PNG%2F360_main_thumb_url_1743388612962.png
